date,amount_JOD,type,merchant,is_fraud
2024-01-01,97.57612188539932,pos,Aman Bank,0
2024-01-02,485.3932296503697,atm,Other,0
2024-01-03,46.1042067625693,atm,Carrefour,0
2024-01-04,67.57941933435289,online,Carrefour,0
2024-01-05,103.4722379616215,atm,Carrefour,0
2024-01-06,40.854295694295836,online,Carrefour,0
2024-01-07,295.28690094896325,pos,Aman Bank,0
2024-01-08,464.0608880576386,pos,Aman Bank,0
2024-01-09,84.61400715435444,atm,Amazon,0
2024-01-10,138.63937416651467,atm,Amazon,0
2024-01-11,26.186437896087867,online,Amazon,0
2024-01-12,78.70480988447132,atm,Zain,0
2024-01-13,135.66378058116433,online,Amazon,0
2024-01-14,209.36397602197374,pos,Aman Bank,0
2024-01-15,168.2225707018592,atm,Amazon,0
2024-01-16,91.66205345417755,pos,Carrefour,0
2024-01-17,782.3786127870158,atm,Other,1
2024-01-18,96.1875844356923,pos,Aman Bank,0
2024-01-19,98.55880345631554,pos,Aman Bank,0
2024-01-20,104.8495707546169,online,Aman Bank,0
2024-01-21,119.8428176383477,atm,Zain,0
2024-01-22,101.52263189244518,atm,Aman Bank,0
2024-01-23,116.30291977099226,atm,Other,0
2024-01-24,282.578754751763,atm,Carrefour,0
2024-01-25,976.8845991230131,atm,Zain,0
2024-01-26,668.0372104809104,online,Other,0
2024-01-27,31.63346646237941,atm,Aman Bank,0
2024-01-28,84.36723613901759,atm,Aman Bank,0
2024-01-29,673.9873027768796,atm,Zain,0
2024-01-30,38.69982455317803,online,Carrefour,0
2024-01-31,47.93533123166024,online,Amazon,0
2024-02-01,99.90427100531438,online,Aman Bank,0
2024-02-02,52.884407871932,online,Aman Bank,0
2024-02-03,72.80746883720461,atm,Other,0
2024-02-04,95.88028778924736,online,Other,0
2024-02-05,2390.063505866465,atm,Aman Bank,1
2024-02-06,136.90013272428445,online,Other,0
2024-02-07,1361.2227251619433,atm,Zain,0
2024-02-08,18.822575283767986,atm,Other,0
2024-02-09,223.84580669276747,pos,Other,0
2024-02-10,67.00501458773005,pos,Carrefour,0
2024-02-11,2659.8269991385623,online,Carrefour,0
2024-02-12,157.01072824136904,atm,Aman Bank,0
2024-02-13,87.41361879837486,atm,Amazon,0
2024-02-14,151.21181746088092,pos,Zain,0
2024-02-15,315.88999046709506,online,Other,0
2024-02-16,902.5403804584946,atm,Aman Bank,0
2024-02-17,275.00953335880575,atm,Amazon,0
2024-02-18,72.34800487955621,online,Carrefour,0
2024-02-19,436.0185555438778,atm,Zain,0
2024-02-20,210.83938742571834,atm,Amazon,0
2024-02-21,131.4554162599555,pos,Aman Bank,0
2024-02-22,26.205475830680207,atm,Carrefour,0
2024-02-23,1648.0913382865097,pos,Aman Bank,1
2024-02-24,469.65664126894876,online,Zain,0
2024-02-25,26.570139531783976,online,Aman Bank,0
2024-02-26,68.20245380615441,pos,Zain,0
2024-02-27,233.15746509100234,pos,Other,0
2024-02-28,190.70390901804583,atm,Aman Bank,0
2024-02-29,125.58462427420866,online,Zain,0
2024-03-01,578.2203533364121,atm,Other,0
2024-03-02,470.9248869804167,atm,Aman Bank,0
2024-03-03,2081.099218365913,atm,Carrefour,1
2024-03-04,69.95002560980527,atm,Aman Bank,0
2024-03-05,159.43662870747116,atm,Amazon,0
2024-03-06,67.99817684545795,pos,Carrefour,0
2024-03-07,876.0136529339328,online,Carrefour,0
2024-03-08,395.14078326623826,online,Aman Bank,0
2024-03-09,348.8325170414357,atm,Other,0
2024-03-10,437.9821243747012,pos,Aman Bank,0
2024-03-11,221.22285265056084,pos,Aman Bank,0
2024-03-12,43.15404633815321,atm,Other,0
2024-03-13,171.40171190267634,pos,Aman Bank,0
2024-03-14,412.4853717020372,online,Aman Bank,0
2024-03-15,1905.3894544681257,online,Carrefour,1
2024-03-16,32.48957467090174,online,Aman Bank,0
2024-03-17,85.41838156856792,pos,Amazon,0
2024-03-18,436.84869297292516,atm,Other,0
2024-03-19,440.28420378927825,online,Aman Bank,0
2024-03-20,418.3863249337281,online,Zain,0
2024-03-21,209.26916214156282,online,Aman Bank,0
2024-03-22,131.95687591605548,atm,Zain,0
2024-03-23,686.5624692496127,atm,Carrefour,0
2024-03-24,41.4858385420144,online,Other,0
2024-03-25,109.7899476425347,atm,Amazon,0
2024-03-26,141.78640180133382,online,Other,0
2024-03-27,10.954513243464328,online,Aman Bank,0
2024-03-28,383.2459469472955,atm,Carrefour,0
2024-03-29,122.04709553139041,pos,Carrefour,0
2024-03-30,1224.668725535406,online,Aman Bank,1
2024-03-31,3261.5966561880514,pos,Zain,1
2024-04-01,188.42302386020714,atm,Aman Bank,0
2024-04-02,174.91270060238895,online,Aman Bank,0
2024-04-03,144.13001557553562,online,Carrefour,0
2024-04-04,160.94724687009128,online,Zain,0
